month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
01-01,78,5.1,2023,-24.1,1979,2.6,2023,-28.2,1979,1.1,2023,-33.0,1979,15.2,1995
01-02,78,6.4,2023,-19.9,1979,2.8,2025,-22.0,1979,1.2,2007,-24.6,1993,10.5,1956
01-03,78,4.4,1992,-20.5,2024,2.6,2007,-24.8,1950,1.8,2007,-29.0,1950,10.0,2003
01-04,78,5.6,1992,-24.4,1950,4.2,1992,-29.1,1950,2.5,1992,-31.8,1950,12.6,1971
01-05,78,4.0,1949,-27.5,1950,2.3,1961,-30.3,1950,1.1,1998,-33.0,1950,6.3,"1952, 1982"
01-06,78,3.6,1973,-23.7,1950,2.5,1973,-26.8,1950,1.2,2012,-29.6,1950,20.0,1965
01-07,78,3.5,"2007, 2018",-26.1,1987,2.0,2007,-28.7,1987,1.2,2012,-31.5,1987,10.9,1999
01-08,78,5.1,2005,-27.2,1987,3.2,2025,-29.0,1987,1.5,2025,-31.4,1950,17.8,1970
01-09,78,5.2,2005,-27.6,1950,4.4,2005,-29.8,1950,3.5,2005,-32.7,1950,12.9,1976
01-10,78,8.0,2007,-28.4,1950,4.3,2007,-32.8,1950,2.1,2014,-36.8,1950,10.2,1960
01-11,78,8.6,2007,-26.7,1987,7.1,2007,-29.0,1987,4.6,2007,-31.6,1950,9.2,2024
01-12,78,4.9,2007,-24.5,1987,2.7,2005,-28.8,1987,1.4,2007,-32.4,1987,11.5,1992
01-13,78,3.7,2005,-20.3,1972,2.3,2005,-25.0,1963,1.4,2007,-31.6,1963,12.9,1987
01-14,78,3.7,2005,-19.6,1990,2.4,2005,-22.9,1990,1.5,2005,-26.7,1990,11.8,2021
01-15,78,3.1,"1993, 2015",-21.4,1966,2.1,2015,-25.8,1972,1.0,1975,-30.6,1972,10.9,1999
01-16,78,3.1,2020,-21.7,1966,2.9,2020,-24.2,1966,2.3,2020,-26.5,1966,10.6,2021
01-17,78,4.5,2020,-19.7,2006,3.4,2020,-23.6,1963,2.3,2020,-27.9,1963,7.7,2016
01-18,78,5.1,2007,-25.8,2006,2.5,1993,-28.8,2006,0.9,1993,-30.4,2006,9.6,2013
01-19,78,6.3,2007,-25.4,2006,4.8,2007,-28.7,2006,3.6,2007,-30.8,2006,13.3,2007
01-20,78,6.2,2007,-22.9,2006,3.0,2023,-26.7,2006,1.0,2023,-29.8,2006,11.3,2008
01-21,78,3.6,2020,-22.9,1963,2.2,2020,-25.5,1963,0.8,2020,-28.3,1963,8.9,2005
01-22,78,4.3,2020,-21.3,1968,2.7,1957,-23.2,1968,2.1,1957,-26.9,1985,11.5,2005
01-23,78,4.0,1959,-19.4,1968,2.2,1959,-21.8,1977,1.6,1959,-25.6,1977,8.4,1966
01-24,78,4.1,2002,-20.3,1968,2.8,2002,-24.0,1968,2.0,"1971, 2002",-28.2,1968,13.2,2015
01-25,78,3.8,2021,-17.7,1968,2.6,2002,-21.9,1968,1.7,2002,-25.9,1987,10.0,1956
01-26,78,3.3,2025,-20.4,1954,2.5,2025,-23.6,1954,1.1,2025,-26.5,1954,10.3,2019
01-27,78,5.6,2025,-21.0,1956,4.3,2025,-26.3,1956,2.8,2025,-31.1,1956,10.6,1995
01-28,78,5.5,2025,-23.2,1956,4.8,2025,-26.5,1956,4.0,2025,-30.4,1956,13.7,2005
01-29,78,5.1,2025,-24.2,1956,4.4,2025,-28.3,1956,3.7,2025,-32.1,1956,13.5,1979
01-30,78,8.1,2025,-29.4,1956,5.9,2025,-33.0,1956,4.2,2025,-35.7,1956,9.7,1983
01-31,78,6.5,2025,-32.3,1956,3.9,2025,-35.0,1956,2.9,2025,-38.1,1956,12.6,1965
02-01,78,4.8,2025,-21.6,1956,3.5,2025,-27.0,1956,2.5,2025,-34.8,1956,12.5,1983
02-02,78,3.3,1980,-22.8,1956,1.3,2025,-26.6,1956,-0.2,2025,-31.3,1967,13.2,2001
02-03,78,4.2,2002,-23.1,1966,2.5,2016,-27.9,1966,1.8,2016,-31.9,1967,14.5,2018
02-04,78,5.2,2002,-23.9,1966,3.7,2002,-27.1,1953,2.3,1989,-30.5,1950,24.2,2018
02-05,78,4.5,2002,-27.2,1956,2.3,1993,-31.4,1956,1.3,1989,-35.2,1956,10.3,1961
02-06,78,7.0,2002,-28.0,1956,3.1,2002,-29.4,1956,1.3,2002,-30.6,1956,10.4,1958
02-07,78,5.7,1989,-24.0,1956,2.7,1989,-27.7,1956,1.0,2008,-31.4,1956,10.0,2024
02-08,78,6.0,1989,-19.6,1956,4.5,1989,-25.5,1956,2.6,1989,-31.8,1956,14.3,2001
02-09,78,5.5,1990,-21.2,1985,3.5,1990,-23.5,1969,1.6,1990,-27.8,1969,11.3,1983
02-10,78,4.2,1990,-18.5,1969,2.0,2000,-23.8,1969,1.1,2000,-28.1,1969,12.0,1988
