month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
01-01,153,19.9,1966,0.9,2016,16.0,1978,-1.4,2016,13.5,1978,-3.3,1925,61.0,1880
01-02,153,20.1,1966,0.6,1928,14.9,1986,-3.5,1928,11.9,1966,-7.5,1928,59.0,1892
01-03,153,20.1,1971,-0.4,2016,16.4,1953,-2.7,1927,13.0,1953,-5.6,1927,73.0,1888
01-04,153,21.0,1953,-0.7,1942,16.7,1953,-5.6,1942,13.4,1953,-7.3,2016,49.3,1983
01-05,153,18.9,1966,1.0,1942,16.0,1922,-3.2,1942,12.2,1996,-6.8,1942,84.0,1883
01-06,153,18.8,1971,2.6,1932,15.2,"1915, 1922",-1.2,1932,12.4,1915,-7.2,1932,89.0,1881
01-07,153,18.4,1959,0.9,1979,14.3,"1915, 2017",-4.4,1883,13.1,1922,-7.7,1979,32.8,1981
01-08,153,18.6,2010,-0.1,1979,15.6,2026,-4.5,1979,12.5,2012,-7.3,1979,51.4,1990
01-09,153,19.0,1968,0.2,2015,15.8,2021,-2.2,1875,13.1,2021,-3.7,2002,52.0,1893
01-10,153,19.9,2010,1.2,2009,15.2,2010,-2.0,2009,12.1,2010,-4.8,2009,65.6,1998
01-11,153,18.4,1919,-1.7,1950,14.3,2010,-8.3,1950,11.7,2022,-10.7,1950,48.3,1878
01-12,153,17.1,1915,-2.0,1950,15.3,1915,-7.4,1950,12.1,1915,-9.6,1950,83.5,1896
01-13,153,22.4,2021,-1.0,1950,18.3,2021,-5.6,1950,11.5,2021,-8.5,1950,63.0,1892
01-14,153,19.1,1960,-1.5,1950,15.0,1915,-4.3,1950,12.4,1893,-7.7,1941,56.7,2007
01-15,153,17.7,1970,0.1,1972,14.8,1955,-2.4,1972,12.2,1915,-4.6,1941,79.0,1936
01-16,153,17.9,1955,0.5,1901,14.4,1892,-2.1,1911,13.6,1892,-6.5,1964,47.0,1881
01-17,153,16.3,2023,-0.3,1911,12.6,"1981, 2016",-6.2,1964,10.0,1948,-8.1,1964,63.2,1961
01-18,153,20.1,2016,-4.4,1964,16.5,2016,-9.4,1964,13.6,2016,-12.2,1964,56.2,1950
01-19,153,18.7,1940,-2.1,1964,14.1,1915,-6.8,1964,11.6,1970,-12.5,1964,46.6,1902
01-20,153,18.9,2023,1.0,1902,13.9,2023,-4.3,1892,11.7,2023,-8.1,1902,46.1,1949
01-21,153,18.0,1966,1.5,1925,13.8,1966,-3.1,2006,10.7,2023,-6.0,1911,56.5,1888
01-22,153,21.2,1948,2.2,2006,14.2,1966,-1.3,1880,10.0,2004,-5.1,1911,50.5,1885
01-23,153,18.7,2004,0.4,2000,14.5,2004,-3.0,2000,11.6,1915,-7.1,2000,75.0,1888
01-24,153,18.8,1966,-2.9,2006,15.3,1966,-4.6,2006,11.9,1966,-8.6,1931,61.3,1964
01-25,153,19.4,2007,0.8,2016,16.6,2007,-6.6,1892,14.6,2007,-13.4,1892,66.0,1894
01-26,153,17.9,1939,0.4,1925,14.5,1915,-3.2,1921,11.8,1915,-8.3,1921,45.0,1896
01-27,153,18.7,1985,-0.1,1997,15.4,2021,-6.1,1880,12.7,2021,-6.6,1921,49.5,1966
01-28,153,18.7,2014,0.7,1954,13.6,2014,-4.9,1880,10.7,2014,-7.8,1964,68.6,1962
01-29,153,17.8,2009,-0.3,1964,15.1,1936,-8.0,1964,10.1,2009,-13.1,1964,57.4,1953
01-30,153,19.7,1999,-1.0,2017,15.1,"1915, 1999",-3.7,"1950, 2017",12.7,1915,-8.6,1950,76.7,1992
01-31,153,18.3,2010,-0.7,1956,15.8,1915,-5.0,1993,13.2,1915,-8.9,"1993, 1997",182.0,1892
02-01,153,20.8,2015,-3.9,1967,15.3,2015,-7.3,1967,12.9,2001,-10.6,1967,48.3,2006
02-02,153,21.7,2015,0.1,1967,17.8,2015,-6.4,1967,15.3,2015,-12.3,1967,47.4,1964
02-03,153,20.8,2015,-2.0,1950,15.1,2015,-4.3,1950,12.7,2022,-8.0,1958,60.4,2026
02-04,153,18.2,1936,0.2,1911,13.7,1930,-3.4,1986,12.2,1930,-7.3,1950,56.4,2020
02-05,153,18.3,2018,-0.2,1954,14.8,1936,-2.8,1986,12.0,1936,-7.8,1986,115.0,1884
02-06,153,21.2,1919,1.8,1966,16.5,1919,-4.5,1893,12.5,1961,-8.1,1966,55.1,2011
02-07,153,19.2,2013,0.3,1929,15.3,2013,-3.4,1932,13.1,2013,-7.6,1959,88.5,1894
02-08,153,20.3,2013,0.5,1932,14.5,2013,-5.8,1929,11.8,2003,-10.8,1929,62.0,2026
02-09,153,20.2,2021,-1.5,1949,15.5,2021,-9.0,1882,11.5,1996,-11.1,1929,57.2,1981
02-10,153,19.3,2021,0.8,1920,15.6,2021,-4.3,1882,12.1,2021,-8.5,1960,37.5,1877
02-11,153,19.6,2018,-0.6,1971,16.2,2024,-5.7,1930,14.5,2024,-6.9,1930,55.5,1892
02-12,153,20.6,2024,-3.2,1911,15.8,2024,-8.2,1911,13.5,2024,-11.0,1911,176.0,1896
02-13,153,21.0,2024,-1.3,1911,16.0,2024,-7.5,1911,13.1,2024,-12.6,1911,59.0,1877
02-14,153,22.7,1973,-2.3,1911,18.0,2024,-6.5,1911,14.7,2024,-9.8,1911,93.0,1893
02-15,153,21.8,2010,0.4,1911,18.1,1978,-4.4,1911,14.4,1978,-9.1,1911,43.0,1946
02-16,153,21.9,1978,2.0,"1985, 2021",16.0,1904,-1.7,1891,13.7,2016,-8.2,1908,40.6,1895
02-17,153,23.3,1944,2.3,"1985, 2021",18.4,1944,-0.8,1985,13.2,1944,-5.0,1911,64.0,1894
02-18,153,23.5,1901,1.4,"1903, 1959",20.2,1901,-1.6,"1880, 1917",13.0,1973,-6.7,1917,54.0,1908
02-19,153,22.3,1955,0.5,2008,16.8,1955,-4.8,1880,14.4,1955,-3.6,1998,53.5,1887
02-20,153,18.4,1958,-0.5,1985,16.4,1958,-4.6,1880,11.4,1958,-4.6,1985,50.7,1999
02-21,153,19.2,1958,-1.5,1985,15.5,2010,-3.6,1985,12.7,2010,-5.6,1985,58.8,1960
02-22,153,20.3,1915,-1.0,1985,15.7,1915,-3.7,1985,11.7,1915,-6.0,1985,51.5,1953
02-23,153,19.5,1941,0.0,1934,15.2,1996,-3.7,"1934, 1985",13.0,1900,-8.1,1985,65.0,1952
02-24,153,20.5,1966,0.7,1928,16.8,1915,-2.1,1917,14.3,1915,-6.8,1917,84.0,1952
02-25,153,20.0,"1915, 1987",-3.3,1917,15.1,2022,-6.2,1917,13.2,2022,-9.3,1917,43.0,1883
02-26,153,20.1,1947,0.7,1985,14.6,1915,-2.3,1985,11.6,1915,-6.4,1938,47.9,1957
02-27,153,21.2,2016,0.4,1985,17.1,2016,-3.2,1985,12.1,2023,-7.5,1985,69.0,1886
02-28,153,21.9,1989,-0.1,1985,18.1,1989,-1.5,1985,14.0,2004,-3.7,1985,38.0,1960
02-29,37,20.7,2004,4.5,1928,15.8,2004,1.5,1928,11.2,2004,-2.7,1976,33.5,1896
03-01,153,22.5,2016,3.7,1985,16.3,2016,-2.5,1985,11.2,2016,-7.0,1985,42.5,1887
03-02,153,22.5,2016,2.7,1928,19.1,2016,-1.2,1985,15.0,2016,-5.6,1985,55.5,1977
03-03,153,21.6,2016,2.5,1933,18.3,2016,-0.3,1933,13.8,2016,-3.1,1985,51.5,1887
03-04,153,23.7,2014,2.0,2009,17.5,2014,-0.6,1940,13.9,1984,-2.5,1899,67.0,1887
03-05,153,22.0,2020,2.3,1928,18.1,2020,0.0,1983,14.9,2020,-3.7,1953,37.0,1880
03-06,153,23.6,2020,2.2,1983,18.3,2020,-0.9,1983,15.1,2020,-3.0,"1980, 1983",54.0,1893
